name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Root,4.041885653763915,307.0,2.0,4.0,60.0,90.0,79.99,64.95,41.79
Scythe,4.05471219906352,635.0,1.0,5.0,90.0,120.0,119.99,75.95,52.99
Wingspan,4.038944315545243,431.0,1.0,5.0,40.0,70.0,89.99,54.95,47.44
Gloomhaven,4.215449776194833,395.0,1.0,4.0,60.0,150.0,199.99,119.99,105.95
Terraforming Mars,3.9740314717221965,562.0,1.0,5.0,90.0,120.0,99.99,61.89,46.99
Azul,3.8405078067999394,623.0,2.0,4.0,30.0,60.0,49.99,41.95,31.99
Pandemic,3.6298657226324917,819.0,2.0,4.0,45.0,60.0,44.99,39.95,28.38
Viticulture: Essential Edition,4.015407223427606,417.0,1.0,6.0,90.0,120.0,93.99,52.95,42.31
Spirit Island,4.050541420666648,353.0,1.0,4.0,90.0,120.0,119.99,73.89,65.34
7 Wonders,3.6756202480992406,714.0,2.0,7.0,30.0,45.0,63.99,34.95,29.29
Codenames,3.6475754310344852,725.0,2.0,8.0,15.0,15.0,24.99,16.89,11.99
7 Wonders Duel,3.8990504419903993,569.0,2.0,2.0,30.0,45.0,41.99,33.99,17.49
The Castles of Burgundy,4.012616395078153,496.0,2.0,4.0,30.0,90.0,24.99,43.99,0.00
Carcassonne,3.561403508771932,741.0,2.0,5.0,30.0,45.0,44.99,33.95,27.99
Pandemic Legacy: Season 1,4.229292775417485,402.0,2.0,4.0,60.0,75.0,94.99,83.95,58.49
Ticket To Ride,3.5502973426310094,637.0,2.0,5.0,45.0,90.0,64.99,49.95,31.99
Concordia,4.118644067796612,354.0,2.0,5.0,90.0,120.0,94.99,55.95,41.69
Splendor,3.5277642104048255,617.0,2.0,4.0,30.0,60.0,63.99,39.95,19.86
Race for the Galaxy,3.83409048697713,377.0,2.0,4.0,30.0,60.0,49.99,30.95,25.85
Everdell,3.9849246231155795,199.0,1.0,4.0,60.0,120.0,104.99,64.95,42.29
Catan,3.2305458025569407,736.0,3.0,4.0,45.0,90.0,59.99,44.95,29.79
Patchwork,3.6835079904887413,472.0,2.0,2.0,15.0,30.0,27.99,22.95,16.85
Santorini,3.71785558225912,398.0,2.0,4.0,15.0,30.0,0.00,34.93,0.00
Brass: Birmingham,4.333333333333337,201.0,2.0,4.0,120.0,180.0,111.99,62.95,50.79
Jaipur,3.686684091355553,465.0,2.0,2.0,30.0,42.0,35.99,24.49,15.99
Great Western Trail,4.079998905099501,307.0,2.0,4.0,75.0,150.0,104.99,68.95,31.95
Kingdomino,3.5588172486800738,442.0,2.0,4.0,15.0,20.0,26.99,23.49,12.49
Love Letter,3.4065084884472707,547.0,2.0,4.0,20.0,20.0,0.00,9.95,9.59
King of Tokyo,3.3285163879129924,564.0,2.0,6.0,30.0,36.0,56.99,35.95,21.86
Lords of Waterdeep,3.6748318239506923,453.0,2.0,5.0,60.0,60.0,41.99,47.95,39.99
The Quacks of Quedlinburg,4.009401856151658,257.0,2.0,4.0,60.0,75.0,94.99,39.95,26.86
Star Realms,3.578110513884361,432.0,2.0,2.0,15.0,30.0,0.00,13.95,11.29
Clank! A Deck-Building Adventure,3.803230993032693,353.0,2.0,4.0,30.0,60.0,79.99,47.71,43.79
Puerto Rico,3.7674325192802054,389.0,2.0,5.0,90.0,150.0,64.99,79.99,37.82
Architects of the West Kingdom,3.9342105263157907,228.0,1.0,5.0,60.0,80.0,74.99,49.95,36.79
Blood Rage,3.8236411455289288,348.0,2.0,4.0,60.0,60.0,104.99,137.94,53.86
Small World,3.400111984244973,483.0,2.0,5.0,40.0,80.0,74.99,59.95,31.86
Five Tribes,3.8167914634772315,350.0,2.0,4.0,60.0,90.0,0.00,150.58,38.24
Orléans,4.0273313447420165,271.0,2.0,4.0,90.0,90.0,0.00,66.99,0.00
Welcome to...,3.806121570075058,252.0,1.0,100.0,25.0,30.0,41.99,23.95,20.79
Forbidden Island,3.2960662525879885,483.0,2.0,4.0,30.0,45.0,32.99,19.98,13.92
Clans of Caledonia,4.056780006108116,188.0,1.0,4.0,30.0,120.0,74.99,105.87,57.28
Sagrada,3.653447235115136,332.0,1.0,4.0,20.0,40.0,63.99,34.71,27.79
Dead of Winter: A Crossroads Game,3.593445165717808,387.0,2.0,5.0,45.0,210.0,83.99,63.95,8.94
Power Grid,3.7391871288717704,372.0,2.0,6.0,120.0,150.0,24.99,44.95,16.29
Sushi Go!,3.3968634765765104,424.0,2.0,5.0,15.0,30.0,21.99,14.95,9.95
Arkham Horror: The Card Game,3.9469131614654,268.0,1.0,2.0,60.0,120.0,0.00,47.07,31.99
Tzolk'in: The Mayan Calendar,3.865494199155496,282.0,2.0,4.0,60.0,90.0,69.99,54.95,30.99
Lost Cities,3.522077922077921,385.0,2.0,2.0,30.0,45.0,31.99,17.95,15.00
Ticket to Ride: Europe,3.6272687801677335,389.0,2.0,5.0,30.0,60.0,64.99,49.95,29.56
Robinson Crusoe: Adventures on the Cursed Island,3.775043256534013,278.0,1.0,4.0,60.0,120.0,0.00,59.95,41.95
Roll For The Galaxy,3.7423685563951405,314.0,2.0,5.0,45.0,60.0,81.99,49.95,43.95
Star Wars: Rebellion,4.063395778140234,199.0,2.0,4.0,180.0,240.0,33.99,267.12,68.95
Orléans: Trade & Intrigue,4.135135135135135,37.0,2.0,5.0,90.0,90.0,0.00,22.95,19.79
Coup,3.2546714883458336,429.0,2.0,6.0,15.0,30.0,23.99,13.95,11.99
The Quacks of Quedlinburg: The Herb Witches,4.165151515151514,30.0,2.0,5.0,45.0,45.0,57.99,21.95,13.99
Sushi Go Party!,3.5504275738356084,330.0,2.0,8.0,30.0,45.0,32.99,20.95,10.30
Inis,3.930502392344499,190.0,2.0,4.0,60.0,90.0,89.99,84.99,49.23
A Feast for Odin,4.012435677530017,212.0,1.0,4.0,30.0,120.0,139.99,111.05,73.09
Twilight Struggle,3.9178571428571405,280.0,2.0,2.0,120.0,180.0,92.99,65.95,47.79
Raiders of the North Sea,3.904154154154153,222.0,2.0,4.0,60.0,120.0,71.99,49.95,33.75
Dixit,3.3884742707309075,405.0,3.0,6.0,30.0,42.0,51.99,32.95,20.49
Stone Age,3.6384231536926173,334.0,2.0,5.0,60.0,90.0,52.99,99.96,36.86
Terra Mystica,3.897435897435897,273.0,2.0,5.0,60.0,150.0,111.99,79.95,50.29
Hanabi,3.28343540806153,413.0,2.0,5.0,30.0,45.0,16.99,10.95,7.49
Cosmic Encounter,3.627968635414903,311.0,3.0,5.0,90.0,120.0,0.00,63.74,47.99
The Resistance,3.423052988227417,372.0,5.0,10.0,30.0,45.0,31.99,15.95,14.29
Dominion: Second Edition,3.5300037190767988,255.0,2.0,4.0,15.0,60.0,0.00,37.95,0.00
Takenoko,3.4619258487453344,349.0,2.0,4.0,45.0,60.0,56.99,46.99,25.79
Istanbul,3.755634716161033,266.0,2.0,5.0,40.0,60.0,69.99,44.95,27.29
Mysterium,3.411042944785276,326.0,2.0,7.0,30.0,60.0,61.99,52.95,27.29
Gaia Project,4.1970802919708,137.0,1.0,4.0,60.0,150.0,0.00,59.99,59.95
Caverna: The Cave Farmers,3.8196918913274334,248.0,1.0,7.0,120.0,180.0,126.99,96.95,48.79
Forbidden Desert,3.3573487031700298,347.0,2.0,5.0,45.0,60.0,37.99,29.95,19.00
Agricola (Revised Edition),3.720896125151446,235.0,1.0,4.0,30.0,120.0,0.00,61.95,0.00
Sheriff of Nottingham,3.2821645474791796,349.0,3.0,5.0,60.0,90.0,54.99,326.48,29.79
Star Wars Imperial Assault,3.7718457389937945,193.0,2.0,5.0,90.0,240.0,139.99,117.95,89.99
Dominion,4.068513630329414,366.0,2.0,4.0,30.0,30.0,64.99,76.20,0.00
Betrayal at House on the Hill,3.18904109589041,365.0,3.0,6.0,60.0,72.0,34.99,49.95,32.79
